Wavenumber(cm-1),Absorbance(A.U.)
8.580000000000000000e+02,2.576434296974738913e-05
8.590000000000000000e+02,2.885245359185439895e-05
8.600000000000000000e+02,3.228487930129197991e-05
8.610000000000000000e+02,3.609676958227225896e-05
8.620000000000000000e+02,4.032647679408363217e-05
8.630000000000000000e+02,4.501580473026400853e-05
8.640000000000000000e+02,5.021027186424831257e-05
8.650000000000000000e+02,5.595938967895008886e-05
8.660000000000000000e+02,6.231695643088563941e-05
8.670000000000000000e+02,6.934136665637247177e-05
8.680000000000000000e+02,7.709593666849201554e-05
8.690000000000000000e+02,8.564924622933567377e-05
8.700000000000000000e+02,9.507549651344149311e-05
8.710000000000000000e+02,1.054548843950620096e-04
8.720000000000000000e+02,1.168739930037521191e-04
8.730000000000000000e+02,1.294261983970645957e-04
8.740000000000000000e+02,1.432120920863422242e-04
8.750000000000000000e+02,1.583399190421275193e-04
8.760000000000000000e+02,1.749260306727062897e-04
8.770000000000000000e+02,1.930953521369627168e-04
8.780000000000000000e+02,2.129818632095048514e-04
8.790000000000000000e+02,2.347290917523725540e-04
8.800000000000000000e+02,2.584906186973157105e-04
8.810000000000000000e+02,2.844305932574453522e-04
8.820000000000000000e+02,3.127242569107568926e-04
8.830000000000000000e+02,3.435584745146158525e-04
8.840000000000000000e+02,3.771322706986879325e-04
8.850000000000000000e+02,4.136573695014966745e-04
8.860000000000000000e+02,4.533587349859757865e-04
8.870000000000000000e+02,4.964751103733178184e-04
8.880000000000000000e+02,5.432595530057149347e-04
8.890000000000000000e+02,5.939799622363128861e-04
8.900000000000000000e+02,6.489195971179917422e-04
8.910000000000000000e+02,7.083775805489800348e-04
8.920000000000000000e+02,7.726693863090439152e-04
8.930000000000000000e+02,8.421273052061639675e-04
8.940000000000000000e+02,9.171008863484431117e-04
8.950000000000000000e+02,9.979573493430482500e-04
8.960000000000000000e+02,1.085081963041911735e-03
8.970000000000000000e+02,1.178878386256521082e-03
8.980000000000000000e+02,1.279768965707361872e-03
8.990000000000000000e+02,1.388194986303048495e-03
9.000000000000000000e+02,1.504616868713837263e-03
9.010000000000000000e+02,1.629514309077872980e-03
9.020000000000000000e+02,1.763386355573937081e-03
9.030000000000000000e+02,1.906751416525409581e-03
9.040000000000000000e+02,2.060147194628436651e-03
9.050000000000000000e+02,2.224130541882640699e-03
9.060000000000000000e+02,2.399277229787166732e-03
9.070000000000000000e+02,2.586181629402384274e-03
9.080000000000000000e+02,2.785456295919752634e-03
9.090000000000000000e+02,2.997731452482943482e-03
9.100000000000000000e+02,3.223654368112782720e-03
9.110000000000000000e+02,3.463888624746003231e-03
9.120000000000000000e+02,3.719113268582763254e-03
9.130000000000000000e+02,3.990021841161262017e-03
9.140000000000000000e+02,4.277321285831137132e-03
9.150000000000000000e+02,4.581730725591981468e-03
9.160000000000000000e+02,4.903980108589056641e-03
9.170000000000000000e+02,5.244808717922211372e-03
9.180000000000000000e+02,5.604963542820362576e-03
9.190000000000000000e+02,5.985197508669104494e-03
9.200000000000000000e+02,6.386267563845748896e-03
9.210000000000000000e+02,6.808932621818364339e-03
9.220000000000000000e+02,7.253951357501176034e-03
9.230000000000000000e+02,7.722079857428232330e-03
9.240000000000000000e+02,8.214069123908540604e-03
9.250000000000000000e+02,8.730662433958480406e-03
9.260000000000000000e+02,9.272592554478764626e-03
9.270000000000000000e+02,9.840578815828671111e-03
9.280000000000000000e+02,1.043532404668923164e-02
9.290000000000000000e+02,1.105751137385846405e-02
9.300000000000000000e+02,1.170780089141043590e-02
9.310000000000000000e+02,1.238682620446929228e-02
9.320000000000000000e+02,1.309519085369759139e-02
9.330000000000000000e+02,1.383346462747447880e-02
9.340000000000000000e+02,1.460217976964917064e-02
9.350000000000000000e+02,1.540182709169291009e-02
9.360000000000000000e+02,1.623285199904400677e-02
9.370000000000000000e+02,1.709565044243221976e-02
9.380000000000000000e+02,1.799056480600902397e-02
9.390000000000000000e+02,1.891787974516101478e-02
9.400000000000000000e+02,1.987781798797771948e-02
9.410000000000000000e+02,2.087053611546085818e-02
9.420000000000000000e+02,2.189612033670851332e-02
9.430000000000000000e+02,2.295458227647673155e-02
9.440000000000000000e+02,2.404585479371812440e-02
9.450000000000000000e+02,2.516978785090184800e-02
9.460000000000000000e+02,2.632614445515568669e-02
9.470000000000000000e+02,2.751459669349798354e-02
9.480000000000000000e+02,2.873472188566750241e-02
9.490000000000000000e+02,2.998599887929054297e-02
9.500000000000000000e+02,3.126780451333210920e-02
9.510000000000000000e+02,3.257941027696231728e-02
9.520000000000000000e+02,3.391997919210676393e-02
9.530000000000000000e+02,3.528856294902582569e-02
9.540000000000000000e+02,3.668409932526417450e-02
9.550000000000000000e+02,3.810540991920996490e-02
9.560000000000000000e+02,3.955119823027541948e-02
9.570000000000000000e+02,4.102004811833448450e-02
9.580000000000000000e+02,4.251042267549709486e-02
9.590000000000000000e+02,4.402066354354050581e-02
9.600000000000000000e+02,4.554899071031215385e-02
9.610000000000000000e+02,4.709350281814650430e-02
9.620000000000000000e+02,4.865217801675125742e-02
9.630000000000000000e+02,5.022287539209013829e-02
9.640000000000000000e+02,5.180333700148542775e-02
9.650000000000000000e+02,5.339119054343255399e-02
9.660000000000000000e+02,5.498395268845635009e-02
9.670000000000000000e+02,5.657903309468670372e-02
9.680000000000000000e+02,5.817373912867052077e-02
9.690000000000000000e+02,5.976528130826475049e-02
9.700000000000000000e+02,6.135077948021683270e-02
9.710000000000000000e+02,6.292726974026363607e-02
9.720000000000000000e+02,6.449171209824866580e-02
9.730000000000000000e+02,6.604099888487757752e-02
9.740000000000000000e+02,6.757196389033603978e-02
9.750000000000000000e+02,6.908139221811460118e-02
9.760000000000000000e+02,7.056603083005885679e-02
9.770000000000000000e+02,7.202259975096314548e-02
9.780000000000000000e+02,7.344780389302840717e-02
