Wavenumber(cm-1),Transmittance(%),Absorbance(A.U.)
5.820000000000000000e+02,9.348172480402325846e+01,2.029273283165142772e+00
5.830000000000000000e+02,9.322167859536989454e+01,2.030483081213097840e+00
5.840000000000000000e+02,9.294107488849228105e+01,2.031792309095783899e+00
5.850000000000000000e+02,9.264125631360506929e+01,2.033195564083320139e+00
5.860000000000000000e+02,9.232376680310062511e+01,2.034686484642977522e+00
5.870000000000000000e+02,9.199034698008783550e+01,2.036257743015653432e+00
5.880000000000000000e+02,9.164295194761460550e+01,2.037900930024849622e+00
5.890000000000000000e+02,9.128380947850597238e+01,2.039606244126959123e+00
5.900000000000000000e+02,9.091554268340661338e+01,2.041361864582051044e+00
5.910000000000000000e+02,9.054138573451047023e+01,2.043152862919562107e+00
5.920000000000000000e+02,9.016551939244627079e+01,2.044959511244169192e+00
5.930000000000000000e+02,8.979353607605970922e+01,2.046754925554724824e+00
5.940000000000000000e+02,8.943299898504626810e+01,2.048502205669276321e+00
5.950000000000000000e+02,8.909397398737164053e+01,2.050151669167783020e+00
5.960000000000000000e+02,8.878929044547078320e+01,2.051639414637241199e+00
5.970000000000000000e+02,8.853417528037645923e+01,2.052889053927113849e+00
5.980000000000000000e+02,8.834491460702305687e+01,2.053818444704727408e+00
5.990000000000000000e+02,8.823646510204763160e+01,2.054351898770783169e+00
6.000000000000000000e+02,8.821947952353880851e+01,2.054435508796580656e+00
6.010000000000000000e+02,8.829776145968500600e+01,2.054050306592643427e+00
6.020000000000000000e+02,8.846725148643763248e+01,2.053217465243695639e+00
6.030000000000000000e+02,8.871702812134022054e+01,2.051993014786311686e+00
6.040000000000000000e+02,8.903184034176847206e+01,2.050454649402535079e+00
6.050000000000000000e+02,8.939506965077828227e+01,2.048686432909971877e+00
6.060000000000000000e+02,8.979110679219888880e+01,2.046766675162697613e+00
6.070000000000000000e+02,9.020667889563441122e+01,2.044761306137258039e+00
6.080000000000000000e+02,9.063120511627549547e+01,2.042722245187804653e+00
6.090000000000000000e+02,9.105652669100354046e+01,2.040688919673558033e+00
6.100000000000000000e+02,9.147636739455452926e+01,2.038691089931312650e+00
6.110000000000000000e+02,9.188576852937207207e+01,2.036751747893264852e+00
6.120000000000000000e+02,9.228062006246301507e+01,2.034889495980144236e+00
6.130000000000000000e+02,9.265732373120756904e+01,2.033120247900983113e+00
6.140000000000000000e+02,9.301257870185759202e+01,2.031458314979394775e+00
6.150000000000000000e+02,9.334326332904961987e+01,2.029917020024413876e+00
6.160000000000000000e+02,9.364638468368343638e+01,2.028508984356379941e+00
6.170000000000000000e+02,9.391907193849606017e+01,2.027246207557080293e+00
6.180000000000000000e+02,9.415859567041106004e+01,2.026140027406968080e+00
6.190000000000000000e+02,9.436240058240854012e+01,2.025201019180762785e+00
6.200000000000000000e+02,9.452814341563660605e+01,2.024438871803389439e+00
6.210000000000000000e+02,9.465373089901494552e+01,2.023862263085065116e+00
6.220000000000000000e+02,9.473735467387444942e+01,2.023478746128840378e+00
6.230000000000000000e+02,9.477752147673402305e+01,2.023294652706169483e+00
6.240000000000000000e+02,9.477307767449279652e+01,2.023315015805004613e+00
6.250000000000000000e+02,9.472322768757153710e+01,2.023543511813946871e+00
6.260000000000000000e+02,9.462754603172288626e+01,2.023982422285502292e+00
6.270000000000000000e+02,9.448598275233862864e+01,2.024632615457353957e+00
6.280000000000000000e+02,9.429886199091679089e+01,2.025493548344828643e+00
6.290000000000000000e+02,9.406687337666079429e+01,2.026563290947210216e+00
6.300000000000000000e+02,9.379105593961044463e+01,2.027838574640937974e+00
6.310000000000000000e+02,9.347277436345424917e+01,2.029314866833575426e+00
6.320000000000000000e+02,9.311368771856204773e+01,2.030986473006853643e+00
6.330000000000000000e+02,9.271571144559732147e+01,2.032846664820414873e+00
6.340000000000000000e+02,9.228097444099475410e+01,2.034887828193937320e+00
6.350000000000000000e+02,9.181177482082999575e+01,2.037101617145376409e+00
6.360000000000000000e+02,9.131054055807300074e+01,2.039479086189904589e+00
6.370000000000000000e+02,9.077980498665741038e+01,2.042010754544365536e+00
6.380000000000000000e+02,9.022221238777136421e+01,2.044686527537351139e+00
6.390000000000000000e+02,8.964057549790368284e+01,2.047495363931246537e+00
6.400000000000000000e+02,8.903801402261565556e+01,2.050424535428043704e+00
6.410000000000000000e+02,8.841820861385980379e+01,2.053458288310451962e+00
6.420000000000000000e+02,8.778580256349135880e+01,2.056575716063183012e+00
6.430000000000000000e+02,8.714696305745873417e+01,2.059747742809508342e+00
6.440000000000000000e+02,8.651005956388191009e+01,2.062933388962154169e+00
6.450000000000000000e+02,8.588631397157556080e+01,2.066076035705077807e+00
6.460000000000000000e+02,8.529013004109036444e+01,2.069101223424519631e+00
6.470000000000000000e+02,8.473867545608941043e+01,2.071918328706602974e+00
6.480000000000000000e+02,8.425030175941238042e+01,2.074428534940742974e+00
6.490000000000000000e+02,8.384170878458405696e+01,2.076539878879515744e+00
6.500000000000000000e+02,8.352441081168279879e+01,2.078186579229339692e+00
6.510000000000000000e+02,8.330172234972422984e+01,2.079346019010401392e+00
6.520000000000000000e+02,8.316758583286832618e+01,2.080045904921334898e+00
6.530000000000000000e+02,8.310782080628553103e+01,2.080358105298986793e+00
6.540000000000000000e+02,8.310321405414350693e+01,2.080382179356849104e+00
6.550000000000000000e+02,8.313312737596368152e+01,2.080225881514507602e+00
6.560000000000000000e+02,8.317840402357876428e+01,2.079989416868447183e+00
6.570000000000000000e+02,8.322301534073105245e+01,2.079756552877167763e+00
6.580000000000000000e+02,8.325453952839738747e+01,2.079592076880095952e+00
6.590000000000000000e+02,8.326388542023143202e+01,2.079543327088503535e+00
6.600000000000000000e+02,8.324468563098555762e+01,2.079643482443960689e+00
6.610000000000000000e+02,8.319264851068135158e+01,2.079915049337953459e+00
6.620000000000000000e+02,8.310501059855612027e+01,2.080372790780242287e+00
6.630000000000000000e+02,8.298012788161631192e+01,2.081025900210377699e+00
6.640000000000000000e+02,8.281719024173752075e+01,2.081879507994576439e+00
6.650000000000000000e+02,8.261602501655831077e+01,2.082935704480512129e+00
6.660000000000000000e+02,8.237695794803926219e+01,2.084194249898098761e+00
6.670000000000000000e+02,8.210071320614454748e+01,2.085653070162560851e+00
6.680000000000000000e+02,8.178835315127120964e+01,2.087308536454157704e+00
6.690000000000000000e+02,8.144127939992905851e+01,2.089155412414426927e+00
6.700000000000000000e+02,8.106133571528022230e+01,2.091186244302736696e+00
6.710000000000000000e+02,8.065106481653430137e+01,2.093389894351990410e+00
6.720000000000000000e+02,8.021416742906774289e+01,2.095748919834567126e+00
6.730000000000000000e+02,7.975618127050287853e+01,2.098235648237665174e+00
6.740000000000000000e+02,7.928532500538571526e+01,2.100807189214095150e+00
6.750000000000000000e+02,7.881332420104007497e+01,2.103400354365577041e+00
6.760000000000000000e+02,7.835586130961591778e+01,2.105928511139069315e+00
6.770000000000000000e+02,7.793213673717670531e+01,2.108283416145734002e+00
6.780000000000000000e+02,7.756304739976259555e+01,2.110345136121160703e+00
6.790000000000000000e+02,7.726787057361136135e+01,2.112001056318105086e+00
6.800000000000000000e+02,7.706010546464995059e+01,2.113170400946114746e+00
6.810000000000000000e+02,7.694389920454788978e+01,2.113825809189707083e+00
6.820000000000000000e+02,7.691260712780066910e+01,2.114002466995996254e+00
6.830000000000000000e+02,7.695017047703207425e+01,2.113790413686273517e+00
6.840000000000000000e+02,7.703464014705808438e+01,2.113313941817243524e+00
6.850000000000000000e+02,7.714230724049380683e+01,2.112707376011459193e+00
6.860000000000000000e+02,7.725102174746987771e+01,2.112095767743211283e+00
6.870000000000000000e+02,7.734205047851789061e+01,2.111584318173207464e+00
6.880000000000000000e+02,7.740058378134533257e+01,2.111255763709086963e+00
6.890000000000000000e+02,7.741537509392074412e+01,2.111172777620342167e+00
6.900000000000000000e+02,7.737801127912138099e+01,2.111382436434398269e+00
6.910000000000000000e+02,7.728215515998756757e+01,2.111920775295469621e+00
6.920000000000000000e+02,7.712293046537715213e+01,2.112816476761306017e+00
6.930000000000000000e+02,7.689649987976676471e+01,2.114093427656277502e+00
6.940000000000000000e+02,7.659982444856439088e+01,2.115772225682110541e+00
6.950000000000000000e+02,7.623056994228574013e+01,2.117870833189900104e+00
6.960000000000000000e+02,7.578712461259422639e+01,2.120404569891170432e+00
6.970000000000000000e+02,7.526870050354230557e+01,2.123385581893355578e+00
6.980000000000000000e+02,7.467550001627219558e+01,2.126821860741499037e+00
6.990000000000000000e+02,7.400893700685844578e+01,2.130715833533758374e+00
7.000000000000000000e+02,7.327190497129915059e+01,2.135062517239911806e+00
7.010000000000000000e+02,7.246908170806118221e+01,2.139847241809202938e+00
7.020000000000000000e+02,7.160724803525148729e+01,2.145043016485428389e+00
7.030000000000000000e+02,7.069557617540942829e+01,2.150607761630524806e+00
7.040000000000000000e+02,6.974581272847805735e+01,2.156481860649393845e+00
7.050000000000000000e+02,6.877224964240021166e+01,2.162586769008263854e+00
7.060000000000000000e+02,6.779136203321296250e+01,2.168825640355696915e+00
7.070000000000000000e+02,6.682102082558489542e+01,2.175086893924884635e+00
7.080000000000000000e+02,6.587928570828405839e+01,2.181251118285410406e+00
7.090000000000000000e+02,6.498294982564894440e+01,2.187200578249198557e+00
7.100000000000000000e+02,6.414619403677416187e+01,2.192829106364065250e+00
7.110000000000000000e+02,6.337982154914401178e+01,2.198048987934155374e+00
7.120000000000000000e+02,6.269148875844028623e+01,2.202791416683638204e+00
7.130000000000000000e+02,6.208709686367050296e+01,2.206998646895278693e+00
7.140000000000000000e+02,6.157312723752691141e+01,2.210608788466149832e+00
7.150000000000000000e+02,6.115930783410015437e+01,2.213537438327276341e+00
7.160000000000000000e+02,6.086068949838522002e+01,2.215663131773320860e+00
7.170000000000000000e+02,6.069807968373522300e+01,2.216825048561473999e+00
7.180000000000000000e+02,6.069597585013510610e+01,2.216840101742116875e+00
7.190000000000000000e+02,6.087785747454667273e+01,2.215540640458167232e+00
7.200000000000000000e+02,6.125992250097836234e+01,2.212823556948622539e+00
7.210000000000000000e+02,6.184553251402012108e+01,2.208691666682942145e+00
7.220000000000000000e+02,6.262279406615665067e+01,2.203267559196857128e+00
7.230000000000000000e+02,6.356636863280382244e+01,2.196772597878672073e+00
7.240000000000000000e+02,6.464253975233492611e+01,2.189481588824494729e+00
7.250000000000000000e+02,6.581524128362735837e+01,2.181673522208383620e+00
7.260000000000000000e+02,6.705091821286606546e+01,2.173595270429079296e+00
7.270000000000000000e+02,6.832124009455841929e+01,2.165444259395515214e+00
7.280000000000000000e+02,6.960382318488008480e+01,2.157366904893817772e+00
7.290000000000000000e+02,7.088167953803971955e+01,2.149466000411905497e+00
7.300000000000000000e+02,7.214213284250763536e+01,2.141811022150187149e+00
7.310000000000000000e+02,7.337570548319153829e+01,2.134447710126145203e+00
7.320000000000000000e+02,7.457522171618914797e+01,2.127405446782871135e+00
7.330000000000000000e+02,7.573518676951421469e+01,2.120702299239795696e+00
7.340000000000000000e+02,7.685139933461695705e+01,2.114348220320779514e+00
7.350000000000000000e+02,7.792071120879673174e+01,2.108347092158107561e+00
7.360000000000000000e+02,7.894083972509355362e+01,2.102698258152882804e+00
7.370000000000000000e+02,7.991015405296558072e+01,2.097398032087962605e+00
7.380000000000000000e+02,8.082739158449560080e+01,2.092441436279250944e+00
7.390000000000000000e+02,8.169131111230413467e+01,2.087824133634712087e+00
7.400000000000000000e+02,8.250034236989972669e+01,2.083544249158563400e+00
7.410000000000000000e+02,8.325232432730636845e+01,2.079603632555194093e+00
7.420000000000000000e+02,8.394441671471084021e+01,2.076008184226690201e+00
7.430000000000000000e+02,8.457321864891402186e+01,2.072767140913252426e+00
7.440000000000000000e+02,8.513505873202578300e+01,2.069891560027920185e+00
7.450000000000000000e+02,8.562636844478689113e+01,2.067392474731392760e+00
7.460000000000000000e+02,8.604403864317083617e+01,2.065279213355704080e+00
7.470000000000000000e+02,8.638568521258753208e+01,2.063558217570220954e+00
7.480000000000000000e+02,8.664979342003360330e+01,2.062232468341251845e+00
7.490000000000000000e+02,8.683574891834049936e+01,2.061301445771479557e+00
7.500000000000000000e+02,8.694378511437487589e+01,2.060761456639970124e+00
7.510000000000000000e+02,8.697488176010489269e+01,2.060606152991053541e+00
